,Mean Coeff,σ Coeff
L_s32_ROI-DIENCEPHALON_VENTRAL_RIGHT,0.044147801440686224,0.0615811486436281
R_13l_ROI-L_IFSa_ROI,-0.04402489034688056,0.10351816038804298
L_a24pr_ROI-L_PGi_ROI,0.043984874821333966,0.05970701880611715
L_9-46d_ROI-L_13l_ROI,0.0439817346860681,0.0633526169306736
R_STSvp_ROI-L_p24pr_ROI,-0.04387833270850431,0.04294448662407781
R_p10p_ROI-L_EC_ROI,-0.043862752666331196,0.05003269929996808
L_45_ROI-L_13l_ROI,0.04383422096086844,0.03752084943807664
R_TF_ROI-L_a47r_ROI,-0.04381546637405273,0.05703059958450639
R_OP2-3_ROI-L_23d_ROI,-0.043313639831912554,0.05279052061835712
R_47s_ROI-L_a47r_ROI,-0.0431633414741186,0.06163212202478101
R_s32_ROI-L_A4_ROI,0.04315388006621986,0.11592358847251225
R_TGv_ROI-L_a47r_ROI,-0.04290850890513287,0.04199904196641547
R_MI_ROI-L_TE1m_ROI,0.042783437201914146,0.06432857951323595
R_47m_ROI-L_13l_ROI,-0.04258472819602336,0.045715646230818696
L_p32pr_ROI-L_a47r_ROI,0.04236687656062833,0.0499266744946599
R_PFt_ROI-L_TE1m_ROI,0.04162114985986597,0.05312068204080993
R_5L_ROI-L_IFSp_ROI,-0.04133182853252579,0.0749320429171239
L_TE1m_ROI-PUTAMEN_RIGHT,0.04094292526166764,0.051942277378867995
R_PFop_ROI-L_RI_ROI,0.04087352387582873,0.04029687543661334
R_TPOJ1_ROI-R_PGi_ROI,0.04086191465508428,0.04395215538104452
R_PoI2_ROI-R_STSda_ROI,0.04084163133746921,0.08076496503503157
L_31pv_ROI-L_PFop_ROI,0.040648710871075376,0.057366617236823465
L_5L_ROI-L_6v_ROI,-0.04056937707804309,0.05606960582733529
L_STSda_ROI-L_s32_ROI,-0.040552538972382375,0.08249245235894086
L_24dv_ROI-L_10r_ROI,-0.040525980813611376,0.04491087300768734
R_23d_ROI-L_7Am_ROI,0.040503795462258685,0.057858784185187674
R_OFC_ROI-L_TE2p_ROI,0.040138619113763874,0.07294798729352614
L_13l_ROI-AMYGDALA_RIGHT,-0.039990243316161966,0.042423561769162274
R_MIP_ROI-R_EC_ROI,-0.039884190278334904,0.05336339508217019
R_STSda_ROI-R_PFop_ROI,0.03936911993262393,0.03848522210544545
R_PeEc_ROI-L_p32pr_ROI,-0.03891273423441254,0.059453475392157444
R_PoI2_ROI-R_STSvp_ROI,0.038738894912746666,0.04233129632904026
L_a24pr_ROI-L_FOP4_ROI,0.03863116142403696,0.0668379441236053
L_9m_ROI-L_13l_ROI,0.03838341515009524,0.07545546783762244
R_45_ROI-R_s32_ROI,-0.03836098246604501,0.05589054289077892
L_H_ROI-L_PeEc_ROI,-0.03817311559905611,0.06453392762019294
R_MI_ROI-R_AAIC_ROI,0.037808490229738125,0.08082353774741423
R_OFC_ROI-L_v23ab_ROI,0.03777738770258583,0.0332351852442776
L_Ig_ROI-L_TGv_ROI,-0.03770283286390505,0.025170407677214474
L_p32pr_ROI-L_a10p_ROI,-0.03770061184065834,0.056077236196058096
R_43_ROI-L_TE1m_ROI,0.03769586242153316,0.043872655017085926
L_43_ROI-L_TE1m_ROI,-0.03752075310066976,0.041894331042178795
L_a24pr_ROI-L_45_ROI,0.037515742659268214,0.06205713333371506
R_LIPv_ROI-R_TGv_ROI,-0.037495090427051084,0.0540780551512877
R_25_ROI-L_VIP_ROI,-0.03745218535780193,0.06657043981171147
R_STSda_ROI-L_a47r_ROI,-0.03741491379056483,0.04227622076938434
L_55b_ROI-L_s32_ROI,-0.0371028144202427,0.05373285398185748
R_a24_ROI-R_46_ROI,-0.03698214245857406,0.10070631576346212
L_47m_ROI-L_OP1_ROI,0.036555083557115606,0.04002262768214143
R_FEF_ROI-R_Ig_ROI,-0.03648872792254327,0.04504523801175834
L_PEF_ROI-L_8Av_ROI,-0.03646394274816497,0.05117139975412877
L_47m_ROI-L_43_ROI,0.036359047588586844,0.05712988934503321
R_PFop_ROI-L_STSva_ROI,-0.036317806274406374,0.08584748592934464
R_PCV_ROI-R_EC_ROI,-0.0362349577769389,0.04675389850082326
ACCUMBENS_LEFT-THALAMUS_RIGHT,0.036166203317636134,0.04954482158839078
R_6v_ROI-R_OFC_ROI,-0.03584268111923894,0.0362540304567766
L_5m_ROI-L_FOP2_ROI,-0.035300912549908,0.04408744493663591
R_TE1a_ROI-L_52_ROI,0.03527926275487408,0.060592677101207394
L_FST_ROI-L_TE1m_ROI,-0.03527151358177185,0.038638943701603916
R_9p_ROI-L_TF_ROI,0.034829358639095864,0.07346013261881595
L_s32_ROI-L_pOFC_ROI,0.03480685513169213,0.052697128849464286
L_p32pr_ROI-L_47s_ROI,0.03479295407039009,0.06775131785792572
L_OP1_ROI-L_RI_ROI,-0.03476742422809541,0.056950327769927415
L_33pr_ROI-L_10d_ROI,-0.03464787819520372,0.06271678899231493
R_25_ROI-L_TPOJ1_ROI,0.03454139459224524,0.09097849973171156
L_V4t_ROI-L_TE1m_ROI,-0.034251627832514925,0.05169415473018973
R_a9-46v_ROI-R_9a_ROI,-0.03423522640390729,0.05210166295586917
R_s32_ROI-L_FOP5_ROI,0.0342284446457582,0.0438608084652364
R_MST_ROI-L_s32_ROI,0.034164134557770676,0.0800427131975763
R_TE2a_ROI-L_TE2a_ROI,0.03413196320944959,0.08124888138991528
R_TA2_ROI-L_p24pr_ROI,-0.034037724853612596,0.07199649552059409
R_PEF_ROI-R_OFC_ROI,-0.034031457108506545,0.034503624111934174
L_47s_ROI-L_H_ROI,-0.03366056711247206,0.03436358757839044
L_p24pr_ROI-L_s32_ROI,-0.033626377244321444,0.04028077406603052
R_47m_ROI-L_LIPd_ROI,0.03354885003324516,0.04169918412297813
R_A5_ROI-R_TPOJ3_ROI,0.0334835789405289,0.04999904088937558
L_47s_ROI-L_PHA2_ROI,-0.0334455201466948,0.038872306530135355
R_10r_ROI-R_OFC_ROI,-0.03326388895993941,0.05860998321460838
L_4_ROI-L_s32_ROI,-0.03318400818904175,0.05109519894405365
R_TE1a_ROI-L_31pd_ROI,-0.033036349252903136,0.04676614780521739
L_9m_ROI-AMYGDALA_LEFT,-0.0326671839500847,0.040812720812882675
R_10pp_ROI-L_8C_ROI,-0.03264226603926217,0.047463375780016644
L_47s_ROI-L_STSva_ROI,0.03264140092949645,0.032455294642619786
L_9m_ROI-L_AAIC_ROI,-0.032369619527545336,0.027563413495463353
R_25_ROI-L_PHA2_ROI,-0.03215587290951296,0.05272685636262097
R_44_ROI-L_13l_ROI,-0.03207455423383375,0.03558040108329426
R_MI_ROI-L_RI_ROI,0.032072458975573245,0.06243274375357042
L_a47r_ROI-L_MI_ROI,0.032015502889376934,0.05373427520127895
L_EC_ROI-PALLIDUM_LEFT,-0.031942610235116964,0.05099019571369811
L_TE1a_ROI-PALLIDUM_LEFT,-0.03188757707352554,0.03962311153007909
L_46_ROI-L_13l_ROI,0.03168240009748219,0.055989277066517615
L_46_ROI-L_pOFC_ROI,0.03156986417301164,0.032353781848508525
L_47l_ROI-L_PF_ROI,-0.0315508885538688,0.07900065685038406
L_p24pr_ROI-L_TE1a_ROI,0.031522485001411756,0.06935337664103922
R_FOP2_ROI-L_p24pr_ROI,-0.03150913272115844,0.03168711325617394
L_PFcm_ROI-L_TGd_ROI,0.03144697179500978,0.07021567295567346
L_10d_ROI-L_pOFC_ROI,0.03131396763121408,0.040695116186146144
L_13l_ROI-L_FOP4_ROI,0.03106539262659495,0.02678783817893133
L_TPOJ2_ROI-L_TE1m_ROI,-0.030987868620451827,0.033713805831153056
L_p24pr_ROI-L_FOP4_ROI,0.030847435268127738,0.039820283857964274
R_TE2p_ROI-L_TE1a_ROI,-0.030799175010055302,0.04018316936621965
R_IFSp_ROI-R_IFSa_ROI,-0.03069196316430236,0.03740769018538701
R_STV_ROI-R_A5_ROI,0.03062083397209579,0.04401466451107659
L_p32pr_ROI-L_43_ROI,0.0305606042665315,0.030789602109972284
R_Pir_ROI-R_STSda_ROI,0.030544659565809474,0.056362211663607324
R_LO1_ROI-L_TE1a_ROI,-0.030391977517568385,0.0471636902760493
R_25_ROI-L_p32pr_ROI,0.03032896387845766,0.04186499424388356
R_a47r_ROI-R_p47r_ROI,0.03026239432573985,0.030403984210601656
R_FST_ROI-L_s32_ROI,0.030083989387470172,0.07206695623064545
L_p24pr_ROI-L_47s_ROI,0.029961762960846162,0.026183976497699338
R_s32_ROI-L_25_ROI,-0.029895200474749053,0.050422465795254244
L_13l_ROI-L_p10p_ROI,0.029764649141125747,0.05237358083194391
L_47l_ROI-L_a47r_ROI,0.0297397778031177,0.041022840315999454
R_10pp_ROI-R_s32_ROI,-0.029737728440021725,0.0332707732026658
L_PFop_ROI-L_s32_ROI,-0.029562769692838362,0.033902684128881456
L_3b_ROI-L_s32_ROI,-0.029510725494518126,0.06027868787688233
R_STSda_ROI-L_47s_ROI,-0.02946789021637211,0.04579856593739152
R_6r_ROI-L_TE1m_ROI,0.029393288655366338,0.040462711674435804
R_p10p_ROI-L_PFop_ROI,-0.029176534895352,0.0583685030158586
R_p32_ROI-R_9a_ROI,-0.029157061717883223,0.06102035714178719
R_10d_ROI-R_TE2p_ROI,0.02915176789723916,0.06398818922252571
R_FOP4_ROI-L_s32_ROI,0.029136105698687673,0.03688461779918507
R_Pir_ROI-R_Ig_ROI,0.02903799452381228,0.04047780011223487
R_a24_ROI-R_9a_ROI,-0.028857007956862437,0.04834610341707347
R_STSda_ROI-L_p24pr_ROI,-0.02881202642364824,0.04529949828397032
R_5L_ROI-R_VMV1_ROI,0.028630463909248,0.043300064116514055
R_46_ROI-R_TGd_ROI,-0.028623696989078212,0.041230853264453034
L_47m_ROI-L_a47r_ROI,0.028379628161382175,0.042914419676367305
R_STGa_ROI-R_s32_ROI,-0.028371811770659363,0.03642274761225365
L_a47r_ROI-L_47s_ROI,0.02830098307587961,0.0336963810238897
